sale_time,location_id,item_id,item_name,item_category,price,quantity,check_id,check_total
2015-03-20 23:53:35,3,46ef019e,Student Deal Burger,Budget,120,1,500f086db1,130.22
2016-06-04 03:58:26,4,c78ca43d,Student Deal Burger,Budget,120,1,7a586a9621,119.29
2016-05-30 14:20:22,2,b78f3cac,Student Deal Burger,Budget,120,1,450121e040,116.47
2016-11-23 01:47:01,5,ccd798c6,Classic Angus Burger,Premium,320,1,bee7130ca6,319.82
2017-10-11 02:44:14,4,6099bffc,Value Chicken Burger,Budget,110,1,2f465bc6a6,120.51
2015-04-12 05:55:04,5,89eebea4,Value Chicken Burger,Budget,110,1,f79fc8694a,114.58
2017-10-05 04:40:44,4,494a4144,Mini Cheeseburger,Budget,100,2,102943ba1c,211.05
2016-12-29 22:44:12,5,f2555e41,Mini Cheeseburger,Budget,100,1,d12a277cb3,104.95
2017-12-11 22:33:43,5,9a349873,Student Deal Burger,Budget,120,1,be7a4cdb9f,129.91
2016-12-27 10:10:31,5,467ebbb5,Value Chicken Burger,Budget,110,1,184048b122,112.08
2015-09-09 11:19:24,2,0496f0b4,Mini Cheeseburger,Budget,100,2,dc19ed39fa,196.8
2017-03-21 17:36:44,3,2fe48e22,Student Deal Burger,Budget,120,2,0ce8b75284,255.18
2016-04-28 15:25:15,2,266da7d4,Student Deal Burger,Budget,120,1,fab8b24032,118.58
2017-11-24 01:25:23,1,60813076,Truffle Cheese Burger,Premium,370,1,1122dad572,372.39
2016-04-17 01:47:22,3,c69f3bd4,Mini Cheeseburger,Budget,100,1,4f63c618e5,108.14
2016-09-18 17:53:30,5,56b121e8,Value Chicken Burger,Budget,110,1,34b71c083f,107.05
2016-12-13 09:03:22,3,dc73047b,Classic Angus Burger,Premium,320,1,545f28f059,333.16
2016-09-14 12:21:43,5,ed870f8c,Value Chicken Burger,Budget,110,2,f89dd59f2a,210.81
2017-07-04 11:43:02,1,1d8f6b4d,Value Chicken Burger,Budget,110,3,bf62b706af,360.59
2016-08-31 14:10:45,1,7e7e048a,Value Chicken Burger,Budget,110,2,e0ae735af4,224.49
2016-03-14 17:30:52,2,656e16e5,Value Chicken Burger,Budget,110,1,57056cdbe6,117.26
2015-03-05 04:08:21,3,b4c86e05,Double BBQ Burger,Premium,350,2,f2d5e9bc34,764.16
2015-01-23 01:34:56,4,03bab847,Double BBQ Burger,Premium,350,1,b2f42c7e67,359.36
2016-05-10 19:53:02,4,b247924e,Mini Cheeseburger,Budget,100,2,48378540aa,219.11
2017-03-05 13:27:12,5,e2f3aad5,Mini Cheeseburger,Budget,100,3,c702a67c7b,307.92
2017-06-08 06:21:30,2,fbcc7b97,Student Deal Burger,Budget,120,1,b3cf6747df,115.03
2016-10-06 21:13:53,4,dd3215e0,Value Chicken Burger,Budget,110,2,48e2689e71,226.45
2015-08-23 20:05:16,4,96b1e370,Classic Angus Burger,Premium,320,1,9ba58c9c7c,340.55
2015-10-30 03:56:33,3,d2c459ec,Classic Angus Burger,Premium,320,1,9bacf844a5,316.54
2015-01-03 02:51:00,1,47538533,Value Chicken Burger,Budget,110,2,ebd4c44563,218.92
2015-04-01 00:54:07,3,f3c3e14a,Double BBQ Burger,Premium,350,1,2ca607aaf0,368.42
2016-07-20 10:57:29,3,f7a2cee4,Student Deal Burger,Budget,120,1,b93cc0431e,124.09
2016-03-18 08:17:11,4,4035414e,Mini Cheeseburger,Budget,100,1,f1c1be099c,98.74
2015-09-01 05:20:50,1,42a0684f,Value Chicken Burger,Budget,110,1,113e34b9cb,116.7
